city,state,pop,hdi
sao_paulo,sao_paulo,12396372,805
rio_de_janeiro,rio_de_janeiro,6775561,799
brasilia,distrito_federal,3094325,824
salvador,bahia,2900319,759
fortaleza,ceara,2703391,754
belo_horizonte,minas_gerais,2530701,810
manaus,amazonas,2255903,737
curitiba,parana,1963726,823
recife,pernambuco,1661017,772
goiania,goias,1555626,799
belem,para,1506420,746
porto_alegre,rio_grande_do_sul,1492530,805
guarulhos,sao_paulo,1404694,763
campinas,sao_paulo,1223237,805
sao_luis,maranhao,1115932,768
sao_goncalo,rio_de_janeiro,1098357,739
maceio,alagoas,1031597,721
duque_de_caxias,rio_de_janeiro,929449,711
campo_grande,mato_grosso_do_sul,916001,784
natal,rio_grande_do_norte,896708,763
teresina,piaui,871126,751
sao_bernardo_do_campo,sao_paulo,849874,805
joao_pessoa,paraiba,825796,763
nova_iguacu,rio_de_janeiro,825388,713
sao_jose_dos_campos,sao_paulo,737310,807
santo_andre,sao_paulo,723889,815
ribeirao_preto,sao_paulo,720116,800
jaboatao_dos_guararapes,pernambuco,711330,717
uberlandia,minas_gerais,706597,789
osasco,sao_paulo,701428,776
sorocaba,sao_paulo,695328,798
contagem,minas_gerais,673849,756
aracaju,sergipe,672614,770
feira_de_santana,bahia,624107,712
cuiaba,mato_grosso,623614,785
joinville,santa_catarina,604708,809
aparecida_de_goiania,goias,601844,718
londrina,parana,580870,778
juiz_de_fora,minas_gerais,577532,778
porto_velho,rondonia,548952,736
ananindeua,para,540410,718
serra,espirito_santo,536765,739
caxias_do_sul,rio_grande_do_sul,523716,782
macapa,amapa,522357,733
niteroi,rio_de_janeiro,516981,837
florianopolis,santa_catarina,516524,847
belford_roxo,rio_de_janeiro,515239,684
campos_dos_goytacazes,rio_de_janeiro,514643,716
vila_velha,espirito_santo,508655,800
maua,sao_paulo,481725,766
sao_joao_de_meriti,rio_de_janeiro,473385,719
sao_jose_do_rio_preto,sao_paulo,469173,797
mogi_das_cruzes,sao_paulo,455587,783
betim,minas_gerais,450024,749
boa_vista,roraima,436591,752
maringa,parana,436472,808
santos,sao_paulo,433991,840
diadema,sao_paulo,429550,757
jundiai,sao_paulo,426935,822
rio_branco,acre,419452,727
montes_claros,minas_gerais,417478,770
campina_grande,paraiba,413830,720
piracicaba,sao_paulo,410275,785
carapicuiba,sao_paulo,405375,749
anapolis,goias,396526,737
olinda,pernambuco,393734,735
cariacica,espirito_santo,386495,718
bauru,sao_paulo,381706,801
itaquaquecetuba,sao_paulo,379082,714
sao_vicente,sao_paulo,370839,768
vitoria,espirito_santo,369534,845
caruaru,pernambuco,369343,677
caucaia,ceara,368918,682
blumenau,santa_catarina,366418,806
petrolina,pernambuco,359372,697
ponta_grossa,parana,358838,763
franca,sao_paulo,358539,780
canoas,rio_grande_do_sul,349728,750
pelotas,rio_grande_do_sul,343826,739
vitoria_da_conquista,bahia,343643,678
ribeirao_das_neves,minas_gerais,341415,684
uberaba,minas_gerais,340277,772
paulista,pernambuco,336919,732
praia_grande,sao_paulo,336454,754
cascavel,parana,336073,782
