mkt_email,next_mnth_pv,age,tenure,ammount_spent,vehicle,food,beverage,art,baby,personal_care,toys,clothing,decor,cell_phones,construction,home_appliances,electronics,sports,tools,games,industry,pc,jewel,books,music_books_movies,health
0,244.26,61.0,1.0,21.84,0,2,2,0,2,0,0,2,0,3,1,1,1,0,0,3,1,0,1,0,0,2
0,29.67,36.0,1.0,107.4,0,2,0,2,0,0,1,2,2,3,1,1,1,1,1,2,1,2,1,0,2,2
0,11.73,64.0,0.0,59.81,0,1,0,0,0,3,1,3,0,2,1,1,2,0,0,3,0,1,0,1,0,1
0,41.41,74.0,0.0,62.98,0,1,0,0,3,1,0,0,2,6,3,1,1,0,2,2,1,1,0,4,1,0
0,447.89,59.0,0.0,72.56,0,1,1,3,2,2,2,3,0,2,0,1,5,0,0,1,0,0,1,1,2,1
1,1178.33,39.0,0.0,157.31,0,0,0,0,0,1,0,3,1,0,4,1,2,0,1,3,1,0,0,0,2,4
1,1276.04,23.0,1.0,13.25,0,1,2,0,0,1,2,4,1,1,1,4,4,3,0,1,0,1,0,0,2,1
1,1286.93,52.0,1.0,113.57,0,0,1,1,2,1,1,3,1,2,0,1,3,1,0,4,0,2,0,2,1,0
1,1773.72,31.0,0.0,59.36,0,0,2,1,0,1,2,3,2,6,0,1,3,1,1,2,0,3,1,1,0,4
0,882.2,33.0,0.0,318.2,0,0,2,0,1,1,1,1,2,4,1,2,2,1,2,3,2,2,0,1,0,2
1,1860.27,25.0,2.0,94.3,0,0,3,0,2,1,0,2,3,3,0,0,2,2,2,2,2,2,1,1,2,4
0,15.11,39.0,0.0,4.54,0,0,4,0,2,1,1,6,0,1,1,0,1,0,0,3,1,0,0,0,1,1
0,0.64,41.0,0.0,18.48,0,2,0,0,1,1,2,1,1,4,0,0,0,3,3,0,0,3,2,2,4,1
0,113.1,34.0,0.0,42.42,0,0,0,0,2,1,2,1,0,1,1,1,3,0,0,2,0,5,1,1,1,1
0,0.82,42.0,0.0,21.9,0,0,1,1,1,1,0,2,1,3,0,2,3,1,1,2,3,3,0,0,1,4
0,20.64,31.0,0.0,111.27,0,0,0,0,0,1,0,1,1,5,0,0,4,3,0,1,0,2,0,0,2,1
1,1388.36,34.0,1.0,85.09,0,0,2,0,2,1,1,0,2,1,3,1,2,1,1,5,1,1,1,0,0,1
0,15.53,44.0,1.0,170.83,1,0,0,1,1,1,0,5,2,1,1,1,1,0,1,3,0,1,1,2,0,1
1,1219.24,40.0,1.0,49.46,0,0,0,0,3,1,1,3,1,3,0,2,0,0,3,5,0,2,1,1,0,2
1,1288.92,75.0,1.0,40.28,0,2,1,2,3,0,0,1,0,4,1,1,4,2,0,2,0,2,0,0,1,2
0,6.95,33.0,0.0,13.91,0,1,2,0,3,0,3,1,0,2,0,3,2,1,1,0,0,2,0,0,2,3
1,1261.91,58.0,0.0,119.11,0,1,1,0,1,2,2,2,0,3,0,0,0,2,1,3,0,3,1,0,2,2
1,1012.18,34.0,1.0,6.87,0,1,0,0,0,2,1,4,1,1,1,1,4,0,1,1,0,1,0,1,2,1
0,76.53,35.0,0.0,32.75,0,0,1,0,2,2,1,4,1,1,2,0,1,0,0,7,2,5,0,0,0,1
