date,city,region,cohort,treated,tau,downloads,post
2021-05-01,1,W,2021-06-20,1,0.0,27.0,0
2021-05-02,1,W,2021-06-20,1,0.0,28.0,0
2021-05-03,1,W,2021-06-20,1,0.0,28.0,0
2021-05-04,1,W,2021-06-20,1,0.0,26.0,0
2021-05-05,1,W,2021-06-20,1,0.0,28.0,0
2021-05-06,1,W,2021-06-20,1,0.0,29.0,0
2021-05-07,1,W,2021-06-20,1,0.0,28.0,0
2021-05-08,1,W,2021-06-20,1,0.0,29.0,0
2021-05-09,1,W,2021-06-20,1,0.0,30.0,0
2021-05-10,1,W,2021-06-20,1,0.0,29.0,0
2021-05-11,1,W,2021-06-20,1,0.0,29.0,0
2021-05-12,1,W,2021-06-20,1,0.0,28.0,0
2021-05-13,1,W,2021-06-20,1,0.0,29.0,0
2021-05-14,1,W,2021-06-20,1,0.0,29.0,0
2021-05-15,1,W,2021-06-20,1,0.0,29.0,0
2021-05-16,1,W,2021-06-20,1,0.0,29.0,0
2021-05-17,1,W,2021-06-20,1,0.0,32.0,0
2021-05-18,1,W,2021-06-20,1,0.0,32.0,0
2021-05-19,1,W,2021-06-20,1,0.0,30.0,0
2021-05-20,1,W,2021-06-20,1,0.0,31.0,0
2021-05-21,1,W,2021-06-20,1,0.0,32.0,0
2021-05-22,1,W,2021-06-20,1,0.0,31.0,0
2021-05-23,1,W,2021-06-20,1,0.0,31.0,0
2021-05-24,1,W,2021-06-20,1,0.0,31.0,0
2021-05-25,1,W,2021-06-20,1,0.0,31.0,0
2021-05-26,1,W,2021-06-20,1,0.0,32.0,0
2021-05-27,1,W,2021-06-20,1,0.0,31.0,0
2021-05-28,1,W,2021-06-20,1,0.0,32.0,0
2021-05-29,1,W,2021-06-20,1,0.0,33.0,0
2021-05-30,1,W,2021-06-20,1,0.0,33.0,0
2021-05-31,1,W,2021-06-20,1,0.0,33.0,0
2021-06-01,1,W,2021-06-20,1,0.0,33.0,0
2021-06-02,1,W,2021-06-20,1,0.0,34.0,0
2021-06-03,1,W,2021-06-20,1,0.0,33.0,0
2021-06-04,1,W,2021-06-20,1,0.0,34.0,0
2021-06-05,1,W,2021-06-20,1,0.0,32.0,0
2021-06-06,1,W,2021-06-20,1,0.0,34.0,0
2021-06-07,1,W,2021-06-20,1,0.0,33.0,0
2021-06-08,1,W,2021-06-20,1,0.0,34.0,0
2021-06-09,1,W,2021-06-20,1,0.0,35.0,0
2021-06-10,1,W,2021-06-20,1,0.0,36.0,0
2021-06-11,1,W,2021-06-20,1,0.0,34.0,0
2021-06-12,1,W,2021-06-20,1,0.0,35.0,0
2021-06-13,1,W,2021-06-20,1,0.0,34.0,0
2021-06-14,1,W,2021-06-20,1,0.0,36.0,0
2021-06-15,1,W,2021-06-20,1,0.0,35.0,0
2021-06-16,1,W,2021-06-20,1,0.0,35.0,0
2021-06-17,1,W,2021-06-20,1,0.0,36.0,0
2021-06-18,1,W,2021-06-20,1,0.0,37.0,0
2021-06-19,1,W,2021-06-20,1,0.0,37.0,0
2021-06-20,1,W,2021-06-20,1,0.0,37.0,1
2021-06-21,1,W,2021-06-20,1,0.6463369189558108,38.0,1
2021-06-22,1,W,2021-06-20,1,1.2926738379116287,39.0,1
2021-06-23,1,W,2021-06-20,1,1.9390107568674395,40.0,1
2021-06-24,1,W,2021-06-20,1,2.5853476758232503,42.0,1
2021-06-25,1,W,2021-06-20,1,3.231684594779068,41.0,1
2021-06-26,1,W,2021-06-20,1,3.231684594779068,41.0,1
2021-06-27,1,W,2021-06-20,1,3.231684594779068,41.0,1
2021-06-28,1,W,2021-06-20,1,3.231684594779068,42.0,1
2021-06-29,1,W,2021-06-20,1,3.231684594779068,42.0,1
2021-06-30,1,W,2021-06-20,1,3.231684594779068,42.0,1
2021-07-01,1,W,2021-06-20,1,3.231684594779068,43.0,1
