age,income,credit_score,prime_elegible,prime_card,pv,tau,categ
37.7,9687.0,822.0,0,0,4913.79,700.0,complier
46.0,13731.0,190.0,0,0,5637.66,200.0,never-taker
43.1,2839.0,214.0,1,1,2410.45,699.9999999999998,complier
36.0,1206.0,318.0,1,1,1363.06,700.0,complier
39.7,4095.0,430.0,0,0,2189.8,700.0,complier
48.6,3548.0,99.0,0,0,1646.16,200.0,never-taker
32.3,3771.0,126.0,1,0,2288.43,200.0,never-taker
40.3,10786.0,221.0,1,0,4972.09,200.0,never-taker
47.1,1435.0,315.0,1,1,1454.6,699.9999999999999,complier
38.5,2187.0,768.0,1,1,2908.24,700.0,complier
39.3,564.0,330.0,1,1,1934.91,700.0,complier
41.6,3437.0,41.0,1,0,1910.92,200.0,never-taker
48.0,11687.0,134.0,0,0,5506.07,200.0,never-taker
39.4,3272.0,28.0,1,0,1460.2,200.0,never-taker
40.2,14654.0,226.0,1,0,6281.98,200.0,never-taker
40.3,1403.0,98.0,1,0,1255.35,200.0,never-taker
50.8,2073.0,88.0,1,0,1893.17,200.0,never-taker
50.7,3777.0,544.0,1,1,2802.27,700.0,complier
46.0,11354.0,130.0,1,0,5748.63,200.0,never-taker
43.5,2368.0,5.0,1,0,2046.58,200.0,never-taker
44.9,585.0,267.0,1,0,975.91,199.9999999999999,never-taker
48.0,1660.0,94.0,0,0,1548.37,200.0,never-taker
38.3,2652.0,135.0,1,0,2184.75,200.0,never-taker
46.7,3172.0,33.0,1,0,1643.5,200.0,never-taker
37.0,3439.0,8.0,0,0,1515.12,200.0,never-taker
39.4,7331.0,109.0,1,0,3993.13,200.0,never-taker
45.6,2338.0,45.0,0,0,1268.13,200.0,never-taker
36.3,6088.0,758.0,1,1,3101.78,700.0,complier
41.4,3062.0,39.0,1,0,2334.18,200.0,never-taker
38.6,1369.0,497.0,0,0,1342.59,700.0,complier
41.0,2360.0,476.0,0,0,1429.3,700.0000000000002,complier
30.8,3647.0,157.0,1,0,2600.03,200.0,never-taker
34.9,4620.0,470.0,1,1,2701.6800000000003,700.0000000000002,complier
39.2,3014.0,71.0,1,0,1275.57,200.0,never-taker
45.7,1028.0,191.0,0,0,1619.73,200.0,never-taker
41.3,1887.0,70.0,0,0,1684.81,200.0,never-taker
42.0,11857.0,331.0,0,0,5033.39,700.0,complier
44.8,5465.0,37.0,0,0,3764.57,200.0,never-taker
38.5,3433.0,86.0,0,0,1659.67,200.0,never-taker
43.1,4589.0,489.0,0,0,2388.29,700.0,complier
38.8,8244.0,252.0,0,0,3864.3,200.0,never-taker
35.1,14316.0,503.0,1,1,6879.59,700.0,complier
40.4,1763.0,164.0,0,0,1545.44,200.0,never-taker
44.3,10654.0,245.0,0,0,4808.06,200.0,never-taker
43.4,1865.0,252.0,1,1,1824.99,700.0,complier
