balance,prime_card,pv,tau,categ
12100.0,1,356.472,300.0,always-takers
4400.0,1,268.172,300.0,always-takers
4600.0,1,668.896,299.99999999999994,always-takers
3500.0,1,428.094,300.0,always-takers
12700.0,1,1619.7930000000001,700.0000000000001,complier
4100.0,1,314.953,300.0,always-takers
11400.0,1,743.45,300.00000000000006,always-takers
2000.0,0,665.683,700.0,complier
9900.0,1,1065.934,300.0,always-takers
3400.0,0,1020.139,200.0000000000001,never-taker
5500.0,1,1402.5439999999999,699.9999999999999,complier
3800.0,1,302.465,300.0,always-takers
3400.0,1,227.346,300.0,always-takers
10000.0,1,543.352,300.0,always-takers
9000.0,1,125.037,300.0,always-takers
4300.0,0,441.643,700.0,complier
5300.0,1,233.172,300.0,always-takers
7700.0,1,1771.381,700.0,complier
4300.0,0,343.037,700.0,complier
3900.0,0,392.781,700.0,complier
3400.0,0,918.095,200.0,never-taker
6700.0,0,596.082,200.0,never-taker
5500.0,0,666.888,200.0,never-taker
3800.0,1,539.111,300.0,always-takers
6100.0,1,615.125,300.0,always-takers
4400.0,0,1245.461,200.0,never-taker
6400.0,1,199.837,300.0,always-takers
8000.0,1,842.262,700.0,complier
6900.0,1,766.894,300.0,always-takers
5000.0,1,477.727,300.0,always-takers
5400.0,1,77.79599999999999,300.0,always-takers
7900.0,1,543.749,300.0,always-takers
6900.0,1,1139.108,700.0,complier
9000.0,1,1633.363,700.0,complier
7600.0,0,808.777,200.0,never-taker
5200.0,1,1146.936,700.0,complier
9900.0,1,377.196,300.0,always-takers
11600.0,1,661.7429999999999,299.99999999999994,always-takers
15000.0,1,1662.097,700.0,complier
2900.0,0,659.08,699.9999999999999,complier
6500.0,1,428.483,300.0,always-takers
8900.0,1,764.802,300.0,always-takers
7000.0,1,1264.819,700.0,complier
2000.0,0,-126.209,700.0,complier
6700.0,1,1356.086,700.0,complier
8500.0,1,805.76,300.0,always-takers
5400.0,1,111.75,300.0,always-takers
5400.0,1,462.272,300.0,always-takers
6600.0,1,137.031,300.0,always-takers
6300.0,1,220.114,300.0,always-takers
6400.0,1,885.98,700.0,complier
9900.0,1,1235.658,299.9999999999999,always-takers
5000.0,1,78.447,300.0,always-takers
4400.0,0,512.928,200.0,never-taker
5100.0,1,1063.78,700.0,complier
6100.0,1,1056.6019999999999,699.9999999999999,complier
4800.0,0,596.539,700.0,complier
10300.0,1,645.341,300.0,always-takers
3400.0,0,309.621,700.0,complier
6500.0,1,813.261,300.0,always-takers
8400.0,1,1727.442,700.0,complier
3700.0,0,467.09,199.99999999999994,never-taker
2900.0,1,342.756,300.0,always-takers
7000.0,1,933.494,700.0,complier
7100.0,1,1422.993,699.9999999999999,complier
3000.0,0,561.66,699.9999999999999,complier
5900.0,0,605.961,200.0,never-taker
2500.0,0,200.545,700.0,complier
5900.0,1,1113.453,700.0,complier
4100.0,1,49.542,300.0,always-takers
2200.0,1,448.154,300.0,always-takers
10400.0,1,1543.987,700.0000000000001,complier
3200.0,0,1024.173,200.0,never-taker
8900.0,1,331.953,300.0,always-takers
3200.0,1,491.514,300.0,always-takers
7700.0,1,650.448,300.0,always-takers
8600.0,1,1359.317,700.0,complier
4400.0,1,517.764,300.0,always-takers
8600.0,1,672.12,300.0,always-takers
6100.0,1,570.222,300.0,always-takers
8900.0,1,413.097,300.0,always-takers
8400.0,1,1591.937,699.9999999999999,complier
7700.0,1,1523.0430000000001,700.0000000000001,complier
6400.0,0,759.901,200.0,never-taker
6700.0,0,919.896,200.0,never-taker
8200.0,1,918.016,300.0,always-takers
9600.0,1,438.88599999999997,300.0,always-takers
15000.0,1,1187.952,300.0,always-takers
7400.0,1,401.703,300.0,always-takers
5700.0,1,374.11,300.0,always-takers
6100.0,0,1020.66,199.9999999999999,never-taker
3400.0,0,439.445,700.0,complier
4600.0,0,951.102,699.9999999999999,complier
3600.0,1,582.99,300.0,always-takers
7500.0,0,1036.426,200.0,never-taker
5500.0,1,642.477,700.0,complier
15000.0,1,1033.597,300.0,always-takers
2200.0,0,-70.463,700.0,complier
16900.0,1,1445.357,300.0,always-takers
5300.0,0,874.412,200.0,never-taker
10800.0,1,1765.601,700.0,complier
5200.0,1,1312.566,700.0,complier
3100.0,0,615.989,700.0,complier
7000.0,1,1352.983,700.0,complier
5700.0,1,810.732,700.0,complier
4400.0,1,372.698,300.0,always-takers
6800.0,1,1225.175,700.0,complier
5800.0,1,147.867,300.0,always-takers
13500.0,1,925.33,300.0,always-takers
9800.0,1,443.33500000000004,300.0,always-takers
7900.0,1,1110.445,700.0,complier
7300.0,0,529.773,200.0,never-taker
