wage,educ,exper,married,credit_score1,credit_score2,credit_limit,default
950.0,11,16,1,500.0,518.0,3200.0,0
780.0,11,7,1,414.0,429.0,1700.0,0
1230.0,14,9,1,586.0,571.0,4200.0,0
1040.0,15,8,1,379.0,411.0,1500.0,0
1000.0,16,1,1,379.0,518.0,1800.0,0
880.0,12,4,1,310.0,375.0,1900.0,0
960.0,11,19,1,328.0,161.0,2400.0,1
940.0,12,6,1,328.0,196.0,2300.0,0
1710.0,17,7,1,552.0,786.0,4300.0,0
1080.0,14,9,1,397.0,643.0,2600.0,0
630.0,10,19,1,414.0,518.0,600.0,0
680.0,13,8,1,224.0,625.0,3200.0,0
940.0,14,16,1,466.0,411.0,3200.0,0
1330.0,12,5,1,431.0,536.0,3800.0,0
880.0,12,11,1,534.0,464.0,3600.0,0
840.0,12,14,1,517.0,339.0,4800.0,0
1280.0,16,11,1,414.0,446.0,3800.0,0
1340.0,12,10,1,466.0,464.0,2900.0,0
730.0,12,16,1,397.0,411.0,2000.0,1
1100.0,16,13,0,448.0,411.0,3000.0,0
1010.0,9,17,1,328.0,321.0,2800.0,0
1570.0,16,11,1,483.0,625.0,2000.0,0
820.0,13,14,1,466.0,554.0,1500.0,0
750.0,10,20,1,483.0,304.0,200.0,0
1400.0,12,8,1,586.0,411.0,4400.0,0
1870.0,11,14,1,552.0,679.0,5500.0,1
910.0,12,17,1,534.0,375.0,1400.0,0
830.0,15,10,0,621.0,536.0,3300.0,0
1510.0,12,15,1,569.0,607.0,2900.0,0
2390.0,17,8,1,759.0,696.0,5600.0,0
840.0,14,6,1,466.0,589.0,2400.0,0
1140.0,16,9,0,397.0,393.0,3300.0,0
900.0,14,11,1,534.0,482.0,1500.0,0
1420.0,16,9,1,379.0,589.0,2000.0,0
1240.0,18,11,1,483.0,571.0,3100.0,0
1070.0,15,8,1,397.0,589.0,3500.0,0
1020.0,12,18,1,448.0,304.0,3500.0,0
1800.0,16,10,1,655.0,464.0,5000.0,0
1100.0,12,11,1,448.0,357.0,2300.0,0
1410.0,12,13,1,621.0,500.0,3600.0,0
1000.0,12,16,1,517.0,500.0,2100.0,0
770.0,11,11,1,552.0,518.0,2500.0,0
860.0,16,10,1,414.0,446.0,3800.0,1
870.0,13,17,0,397.0,429.0,1200.0,0
960.0,12,4,1,431.0,464.0,1300.0,0
780.0,13,10,1,500.0,536.0,2500.0,1
1050.0,14,9,1,345.0,464.0,4400.0,0
1500.0,12,19,1,621.0,625.0,1900.0,0
760.0,16,7,1,379.0,589.0,2100.0,0
2300.0,18,10,1,724.0,518.0,5400.0,0
860.0,12,13,1,586.0,500.0,3400.0,0
1420.0,11,19,1,586.0,625.0,4000.0,0
420.0,12,9,1,448.0,482.0,1300.0,0
550.0,12,6,1,483.0,321.0,1700.0,1
460.0,12,15,1,448.0,143.0,200.0,1
1240.0,12,13,1,517.0,464.0,3000.0,0
1610.0,17,7,1,603.0,554.0,4700.0,0
500.0,17,8,0,241.0,464.0,2100.0,0
720.0,18,4,1,397.0,464.0,1100.0,1
1290.0,16,13,1,500.0,625.0,4100.0,0
1440.0,12,5,1,621.0,589.0,4200.0,0
560.0,12,4,1,483.0,518.0,2800.0,0
1140.0,13,21,1,431.0,321.0,2600.0,0
1000.0,12,17,1,483.0,643.0,1700.0,1
1000.0,18,1,1,379.0,554.0,3100.0,0
2840.0,18,6,1,672.0,821.0,5200.0,0
710.0,15,16,1,362.0,571.0,3100.0,0
1350.0,14,18,1,534.0,446.0,2600.0,0
1360.0,11,19,1,586.0,518.0,3600.0,1
970.0,16,8,1,466.0,554.0,3500.0,0
860.0,16,10,1,448.0,554.0,2600.0,0
840.0,13,10,1,483.0,482.0,3700.0,0
1250.0,18,13,1,500.0,589.0,4900.0,0
680.0,11,7,1,466.0,482.0,2400.0,0
850.0,12,14,1,414.0,589.0,500.0,1
530.0,12,11,0,414.0,375.0,4200.0,1
740.0,12,4,0,328.0,411.0,1100.0,0
1010.0,12,17,0,466.0,589.0,3900.0,0
1060.0,12,14,1,603.0,446.0,3700.0,0
1100.0,12,10,1,345.0,643.0,3500.0,0
500.0,12,7,0,517.0,482.0,1000.0,0
680.0,13,9,1,310.0,536.0,3200.0,0
930.0,12,11,1,483.0,696.0,3300.0,1
1060.0,10,13,1,534.0,518.0,3600.0,0
840.0,12,6,1,552.0,518.0,2200.0,0
1160.0,12,18,1,414.0,482.0,3800.0,0
930.0,16,7,1,362.0,411.0,1000.0,1
620.0,12,17,1,397.0,446.0,1500.0,1
1040.0,13,12,1,448.0,500.0,1600.0,0
740.0,12,7,0,466.0,196.0,1100.0,0
1240.0,15,15,1,569.0,464.0,2500.0,0
1330.0,9,18,1,534.0,643.0,2900.0,1
1000.0,13,15,1,414.0,589.0,2900.0,0
410.0,12,16,1,431.0,250.0,1100.0,0
280.0,10,11,1,276.0,429.0,200.0,0
1220.0,18,10,1,655.0,571.0,2600.0,0
1040.0,10,15,1,414.0,500.0,2900.0,1
1790.0,15,8,1,569.0,554.0,4000.0,0
1910.0,16,16,1,586.0,607.0,5400.0,0
1010.0,16,9,0,397.0,571.0,2800.0,0
1390.0,16,9,1,534.0,500.0,3900.0,0
650.0,11,17,1,500.0,339.0,2600.0,0
730.0,15,12,1,362.0,464.0,700.0,0
1080.0,12,4,1,500.0,679.0,2800.0,0
1280.0,12,14,1,672.0,518.0,4500.0,0
1360.0,16,15,1,569.0,571.0,2400.0,0
2620.0,12,21,1,828.0,554.0,5900.0,0
910.0,16,9,0,466.0,429.0,200.0,0
1480.0,17,7,1,448.0,643.0,3400.0,0
680.0,12,13,1,586.0,429.0,3100.0,0
600.0,12,11,1,414.0,446.0,1800.0,0
1250.0,12,11,1,517.0,536.0,4400.0,0
