wage,educ,exper,married,credit_score1,credit_score2,credit_score1_buckets,credit_limit,default
890.0,11,16,1,490.0,500.0,400,5400.0,0
670.0,11,7,1,196.0,481.0,200,3800.0,0
1220.0,14,9,1,392.0,611.0,400,5800.0,0
1210.0,15,8,1,627.0,519.0,600,6500.0,0
900.0,16,1,1,275.0,519.0,200,2100.0,0
900.0,12,4,1,294.0,407.0,200,2300.0,0
930.0,11,19,1,569.0,463.0,600,7700.0,0
880.0,12,6,1,314.0,556.0,400,6300.0,0
1750.0,17,7,1,647.0,722.0,600,7300.0,0
1080.0,14,9,1,412.0,519.0,400,2200.0,1
490.0,10,19,1,333.0,315.0,400,3800.0,1
530.0,13,8,1,176.0,296.0,200,6800.0,1
860.0,14,16,1,333.0,574.0,400,5400.0,0
1340.0,12,5,1,588.0,667.0,600,7500.0,0
830.0,12,11,1,431.0,593.0,400,6300.0,0
880.0,12,14,1,431.0,370.0,400,4400.0,0
1290.0,16,11,1,314.0,537.0,400,3900.0,0
1270.0,12,10,1,353.0,519.0,400,7500.0,0
720.0,12,16,1,353.0,481.0,400,2800.0,0
1160.0,16,13,0,431.0,685.0,400,2100.0,0
960.0,9,17,1,529.0,685.0,600,3900.0,0
1460.0,16,11,1,333.0,426.0,400,7600.0,0
810.0,13,14,1,431.0,611.0,400,4900.0,0
670.0,10,20,1,608.0,481.0,600,5000.0,0
1440.0,12,8,1,392.0,389.0,400,2000.0,0
2010.0,11,14,1,745.0,574.0,800,3700.0,0
980.0,12,17,1,373.0,500.0,400,3600.0,0
800.0,15,10,0,510.0,556.0,600,3500.0,0
1450.0,12,15,1,588.0,759.0,600,5900.0,0
2320.0,17,8,1,588.0,611.0,600,5100.0,0
890.0,14,6,1,255.0,611.0,200,5300.0,0
1160.0,16,9,0,392.0,611.0,400,4500.0,0
1000.0,14,11,1,451.0,593.0,400,4200.0,0
1420.0,16,9,1,549.0,759.0,600,6000.0,0
1270.0,18,11,1,490.0,611.0,400,5800.0,0
1210.0,15,8,1,314.0,667.0,400,5000.0,0
1130.0,12,18,1,490.0,630.0,400,5600.0,0
1740.0,16,10,1,608.0,556.0,600,7000.0,0
1100.0,12,11,1,314.0,685.0,400,4800.0,0
1230.0,12,13,1,392.0,685.0,400,3700.0,0
