d,delivery_time,delivery_time_1,delivery_time_0,tau
1,2.84,2.84,5.84,-3.0
0,4.49,1.49,6.49,-5.0
0,7.27,2.27,8.27,-6.0
1,5.27,2.27,8.27,-6.0
1,5.59,4.59,10.59,-6.0
0,4.64,1.64,7.64,-6.0
1,7.76,5.76,11.76,-6.0
1,4.17,3.17,9.17,-6.0
0,7.04,4.04,10.04,-5.999999999999999
0,8.15,3.15,9.15,-6.0
0,10.46,4.46,10.46,-6.000000000000001
1,3.5,0.5,6.5,-6.0
0,5.8,1.8,7.8,-6.0
0,6.32,1.32,7.32,-6.0
0,8.49,2.49,8.49,-6.0
1,3.0,0.0,6.0,-6.0
0,4.79,0.79,6.79,-6.0
0,5.07,0.07,6.07,-6.0
1,4.11,1.11,7.11,-6.0
1,2.9,1.9,7.9,-6.0
1,0.58,0.58,6.58,-6.0
1,3.28,3.28,9.28,-6.0
1,3.56,3.56,9.56,-6.0
1,3.72,3.72,9.72,-6.0
1,4.68,4.68,10.68,-6.0
0,6.61,3.61,9.61,-6.0
0,9.62,4.62,10.62,-5.999999999999999
0,10.16,4.16,10.16,-6.0
0,11.07,5.07,11.07,-6.0
1,8.96,5.96,11.96,-6.000000000000001
0,8.71,4.71,10.71,-6.000000000000001
0,9.83,4.83,10.83,-6.0
0,10.25,4.25,10.25,-6.0
0,9.71,3.71,9.71,-6.000000000000001
0,9.43,3.43,9.43,-6.0
0,9.6,3.6,9.6,-6.0
0,8.0,2.0,8.0,-6.0
1,5.9,2.9,8.9,-6.0
1,4.93,3.93,9.93,-6.0
1,2.72,2.72,8.72,-6.0
1,1.61,1.61,7.61,-6.0
0,3.87,0.87,6.87,-6.0
0,6.11,1.11,7.11,-6.0
0,9.77,3.77,9.77,-6.0
1,5.47,2.47,8.47,-6.0
0,6.21,2.21,8.21,-6.000000000000001
0,8.54,3.54,9.54,-5.999999999999999
1,8.99,5.99,11.99,-6.0
1,5.55,4.55,10.55,-6.000000000000001
1,5.55,5.55,11.55,-6.000000000000001
0,8.67,5.67,11.67,-6.0
1,7.35,5.35,11.35,-6.0
1,5.78,4.78,10.78,-5.999999999999999
1,5.66,5.66,11.66,-6.0
0,8.75,5.75,11.75,-6.0
0,11.36,6.36,12.36,-5.999999999999999
0,12.31,6.31,12.31,-6.000000000000001
1,9.01,6.01,12.01,-6.0
1,5.9,4.9,10.9,-6.0
1,5.0,5.0,11.0,-6.0
1,2.86,2.86,8.86,-6.0
1,4.4,4.4,10.4,-6.0
1,3.26,3.26,9.26,-6.0
1,2.14,2.14,8.14,-6.0
1,2.75,2.75,8.75,-6.0
0,5.13,2.13,8.13,-6.000000000000001
1,5.42,3.42,9.42,-6.0
0,8.02,4.02,10.02,-6.0
0,10.02,5.02,11.02,-6.0
1,4.87,1.87,7.87,-6.0
0,6.31,2.31,8.31,-6.0
1,5.79,3.79,9.79,-5.999999999999999
1,5.98,4.98,10.98,-6.0
1,6.19,6.19,12.19,-5.999999999999999
0,9.06,6.06,12.06,-6.000000000000001
1,6.05,4.05,10.05,-6.000000000000001
1,6.98,5.98,11.98,-6.0
0,10.2,7.2,13.2,-5.999999999999999
0,11.54,6.54,12.54,-5.999999999999999
1,9.89,6.89,12.89,-6.000000000000001
0,9.6,5.6,11.6,-6.0
1,7.22,5.22,11.22,-6.000000000000001
1,6.14,5.14,11.14,-6.000000000000001
0,7.85,4.85,10.85,-6.0
1,6.14,4.14,10.14,-6.000000000000001
1,4.58,3.58,9.58,-6.0
0,5.39,2.39,8.39,-6.0
0,8.13,3.13,9.13,-6.000000000000001
0,8.69,2.69,8.69,-6.0
0,9.64,3.64,9.64,-6.0
1,6.79,3.79,9.79,-5.999999999999999
1,3.99,2.99,8.99,-6.0
0,5.75,2.75,8.75,-6.0
1,4.92,2.92,8.92,-6.0
1,5.47,4.47,10.47,-6.000000000000001
1,4.65,4.65,10.65,-6.0
0,7.76,4.76,10.76,-6.0
0,10.64,5.64,11.64,-6.000000000000001
0,11.4,5.4,11.4,-6.0
0,13.05,7.05,13.05,-6.000000000000001
1,9.11,6.11,12.11,-5.999999999999999
1,8.86,7.86,13.86,-5.999999999999999
0,9.98,6.98,12.98,-6.0
0,11.98,6.98,12.98,-6.0
0,10.98,4.98,10.98,-6.0
1,8.84,5.84,11.84,-6.0
1,6.94,5.94,11.94,-5.999999999999999
1,3.74,3.74,9.74,-6.0
1,3.92,3.92,9.92,-6.0
0,6.74,3.74,9.74,-6.0
0,6.93,1.93,7.93,-6.0
0,9.31,3.31,9.31,-6.0
0,9.65,3.65,9.65,-6.0
1,4.89,1.89,7.89,-6.0
0,7.17,3.17,9.17,-6.0
1,3.72,1.72,7.72,-6.0
1,4.32,3.32,9.32,-6.0
1,2.16,2.16,8.16,-6.0
0,8.39,5.39,11.39,-6.000000000000001
1,7.2,5.2,11.2,-5.999999999999999
