date,city,region,treated,tau,downloads,post
2021-05-01,1,W,0,0.0,27.0,0
2021-05-02,1,W,0,0.0,28.0,0
2021-05-03,1,W,0,0.0,28.0,0
2021-05-04,1,W,0,0.0,26.0,0
2021-05-05,1,W,0,0.0,28.0,0
2021-05-06,1,W,0,0.0,29.0,0
2021-05-07,1,W,0,0.0,28.0,0
2021-05-08,1,W,0,0.0,29.0,0
2021-05-09,1,W,0,0.0,30.0,0
2021-05-10,1,W,0,0.0,29.0,0
2021-05-11,1,W,0,0.0,29.0,0
2021-05-12,1,W,0,0.0,28.0,0
2021-05-13,1,W,0,0.0,29.0,0
2021-05-14,1,W,0,0.0,29.0,0
2021-05-15,1,W,0,0.0,29.0,1
2021-05-16,1,W,0,0.0,29.0,1
2021-05-17,1,W,0,0.0,32.0,1
2021-05-18,1,W,0,0.0,32.0,1
2021-05-19,1,W,0,0.0,30.0,1
2021-05-20,1,W,0,0.0,31.0,1
2021-05-21,1,W,0,0.0,32.0,1
2021-05-22,1,W,0,0.0,31.0,1
2021-05-23,1,W,0,0.0,31.0,1
2021-05-24,1,W,0,0.0,31.0,1
2021-05-25,1,W,0,0.0,31.0,1
2021-05-26,1,W,0,0.0,32.0,1
2021-05-27,1,W,0,0.0,31.0,1
2021-05-28,1,W,0,0.0,32.0,1
2021-05-29,1,W,0,0.0,33.0,1
2021-05-30,1,W,0,0.0,33.0,1
2021-05-31,1,W,0,0.0,33.0,1
2021-06-01,1,W,0,0.0,33.0,1
2021-05-01,2,N,0,0.0,40.0,0
2021-05-02,2,N,0,0.0,39.0,0
2021-05-03,2,N,0,0.0,40.0,0
2021-05-04,2,N,0,0.0,40.0,0
2021-05-05,2,N,0,0.0,39.0,0
2021-05-06,2,N,0,0.0,42.0,0
2021-05-07,2,N,0,0.0,41.0,0
2021-05-08,2,N,0,0.0,40.0,0
2021-05-09,2,N,0,0.0,40.0,0
2021-05-10,2,N,0,0.0,41.0,0
2021-05-11,2,N,0,0.0,41.0,0
2021-05-12,2,N,0,0.0,41.0,0
2021-05-13,2,N,0,0.0,40.0,0
2021-05-14,2,N,0,0.0,40.0,0
2021-05-15,2,N,0,0.0,41.0,1
2021-05-16,2,N,0,0.0,40.0,1
2021-05-17,2,N,0,0.0,43.0,1
2021-05-18,2,N,0,0.0,41.0,1
2021-05-19,2,N,0,0.0,42.0,1
2021-05-20,2,N,0,0.0,43.0,1
2021-05-21,2,N,0,0.0,41.0,1
2021-05-22,2,N,0,0.0,40.0,1
2021-05-23,2,N,0,0.0,42.0,1
2021-05-24,2,N,0,0.0,41.0,1
2021-05-25,2,N,0,0.0,42.0,1
2021-05-26,2,N,0,0.0,43.0,1
2021-05-27,2,N,0,0.0,42.0,1
2021-05-28,2,N,0,0.0,42.0,1
2021-05-29,2,N,0,0.0,42.0,1
2021-05-30,2,N,0,0.0,42.0,1
2021-05-31,2,N,0,0.0,41.0,1
2021-06-01,2,N,0,0.0,43.0,1
2021-05-01,3,W,0,0.0,30.0,0
2021-05-02,3,W,0,0.0,30.0,0
2021-05-03,3,W,0,0.0,32.0,0
2021-05-04,3,W,0,0.0,29.0,0
2021-05-05,3,W,0,0.0,32.0,0
2021-05-06,3,W,0,0.0,33.0,0
2021-05-07,3,W,0,0.0,31.0,0
2021-05-08,3,W,0,0.0,32.0,0
2021-05-09,3,W,0,0.0,31.0,0
2021-05-10,3,W,0,0.0,33.0,0
2021-05-11,3,W,0,0.0,33.0,0
2021-05-12,3,W,0,0.0,32.0,0
2021-05-13,3,W,0,0.0,32.0,0
2021-05-14,3,W,0,0.0,32.0,0
2021-05-15,3,W,0,0.0,32.0,1
2021-05-16,3,W,0,0.0,32.0,1
2021-05-17,3,W,0,0.0,34.0,1
2021-05-18,3,W,0,0.0,34.0,1
2021-05-19,3,W,0,0.0,32.0,1
2021-05-20,3,W,0,0.0,34.0,1
2021-05-21,3,W,0,0.0,35.0,1
2021-05-22,3,W,0,0.0,35.0,1
2021-05-23,3,W,0,0.0,33.0,1
2021-05-24,3,W,0,0.0,35.0,1
2021-05-25,3,W,0,0.0,35.0,1
2021-05-26,3,W,0,0.0,35.0,1
2021-05-27,3,W,0,0.0,34.0,1
2021-05-28,3,W,0,0.0,34.0,1
2021-05-29,3,W,0,0.0,35.0,1
2021-05-30,3,W,0,0.0,35.0,1
2021-05-31,3,W,0,0.0,37.0,1
2021-06-01,3,W,0,0.0,37.0,1
2021-05-01,4,W,0,0.0,26.0,0
2021-05-02,4,W,0,0.0,27.0,0
2021-05-03,4,W,0,0.0,28.0,0
2021-05-04,4,W,0,0.0,27.0,0
2021-05-05,4,W,0,0.0,27.0,0
