date,city,region,treated,tau,downloads,post
2021-05-01,5,S,0,0.0,51.0,0
2021-05-02,5,S,0,0.0,51.0,0
2021-05-03,5,S,0,0.0,51.0,0
2021-05-04,5,S,0,0.0,50.0,0
2021-05-05,5,S,0,0.0,49.0,0
2021-05-06,5,S,0,0.0,51.0,0
2021-05-07,5,S,0,0.0,51.0,0
2021-05-08,5,S,0,0.0,50.0,0
2021-05-09,5,S,0,0.0,52.0,0
2021-05-10,5,S,0,0.0,51.0,0
2021-05-11,5,S,0,0.0,51.0,0
2021-05-12,5,S,0,0.0,50.0,0
2021-05-13,5,S,0,0.0,51.0,0
2021-05-14,5,S,0,0.0,50.0,0
2021-05-15,5,S,0,0.0,50.0,1
2021-05-16,5,S,0,0.0,49.0,1
2021-05-17,5,S,0,0.0,52.0,1
2021-05-18,5,S,0,0.0,50.0,1
2021-05-19,5,S,0,0.0,49.0,1
2021-05-20,5,S,0,0.0,51.0,1
2021-05-21,5,S,0,0.0,50.0,1
2021-05-22,5,S,0,0.0,49.0,1
2021-05-23,5,S,0,0.0,50.0,1
2021-05-24,5,S,0,0.0,51.0,1
2021-05-25,5,S,0,0.0,51.0,1
2021-05-26,5,S,0,0.0,51.0,1
2021-05-27,5,S,0,0.0,50.0,1
2021-05-28,5,S,0,0.0,49.0,1
2021-05-29,5,S,0,0.0,50.0,1
2021-05-30,5,S,0,0.0,50.0,1
2021-05-31,5,S,0,0.0,51.0,1
2021-06-01,5,S,0,0.0,50.0,1
2021-05-01,15,S,0,0.0,50.0,0
2021-05-02,15,S,0,0.0,49.0,0
2021-05-03,15,S,0,0.0,48.0,0
2021-05-04,15,S,0,0.0,48.0,0
2021-05-05,15,S,0,0.0,49.0,0
2021-05-06,15,S,0,0.0,49.0,0
2021-05-07,15,S,0,0.0,50.0,0
2021-05-08,15,S,0,0.0,49.0,0
2021-05-09,15,S,0,0.0,50.0,0
2021-05-10,15,S,0,0.0,51.0,0
2021-05-11,15,S,0,0.0,49.0,0
2021-05-12,15,S,0,0.0,49.0,0
2021-05-13,15,S,0,0.0,49.0,0
2021-05-14,15,S,0,0.0,48.0,0
2021-05-15,15,S,0,0.0,47.0,1
2021-05-16,15,S,0,0.0,48.0,1
2021-05-17,15,S,0,0.0,50.0,1
2021-05-18,15,S,0,0.0,48.0,1
2021-05-19,15,S,0,0.0,49.0,1
2021-05-20,15,S,0,0.0,49.0,1
2021-05-21,15,S,0,0.0,49.0,1
2021-05-22,15,S,0,0.0,48.0,1
2021-05-23,15,S,0,0.0,49.0,1
2021-05-24,15,S,0,0.0,51.0,1
2021-05-25,15,S,0,0.0,50.0,1
2021-05-26,15,S,0,0.0,49.0,1
