wage,educ,exper,married,credit_score1,credit_score2,credit_limit,spend
950.0,11,16,1,500.0,518.0,3200.0,3848
780.0,11,7,1,414.0,429.0,1700.0,3144
1230.0,14,9,1,586.0,571.0,4200.0,4486
1040.0,15,8,1,379.0,411.0,1500.0,3327
1000.0,16,1,1,379.0,518.0,1800.0,3508
880.0,12,4,1,310.0,375.0,1900.0,3494
960.0,11,19,1,328.0,161.0,2400.0,3674
940.0,12,6,1,328.0,196.0,2300.0,3722
1710.0,17,7,1,552.0,786.0,4300.0,5120
1080.0,14,9,1,397.0,643.0,2600.0,3905
630.0,10,19,1,414.0,518.0,600.0,2050
680.0,13,8,1,224.0,625.0,3200.0,3860
940.0,14,16,1,466.0,411.0,3200.0,3841
1330.0,12,5,1,431.0,536.0,3800.0,4690
880.0,12,11,1,534.0,464.0,3600.0,3917
840.0,12,14,1,517.0,339.0,4800.0,4244
1280.0,16,11,1,414.0,446.0,3800.0,4546
1340.0,12,10,1,466.0,464.0,2900.0,4283
730.0,12,16,1,397.0,411.0,2000.0,3158
1100.0,16,13,0,448.0,411.0,3000.0,3583
1010.0,9,17,1,328.0,321.0,2800.0,3944
1570.0,16,11,1,483.0,625.0,2000.0,4090
820.0,13,14,1,466.0,554.0,1500.0,2934
750.0,10,20,1,483.0,304.0,200.0,1565
1400.0,12,8,1,586.0,411.0,4400.0,4785
1870.0,11,14,1,552.0,679.0,5500.0,5652
910.0,12,17,1,534.0,375.0,1400.0,2893
830.0,15,10,0,621.0,536.0,3300.0,3239
1510.0,12,15,1,569.0,607.0,2900.0,4335
2390.0,17,8,1,759.0,696.0,5600.0,6096
840.0,14,6,1,466.0,589.0,2400.0,3490
1140.0,16,9,0,397.0,393.0,3300.0,3836
900.0,14,11,1,534.0,482.0,1500.0,2983
1420.0,16,9,1,379.0,589.0,2000.0,4033
1240.0,18,11,1,483.0,571.0,3100.0,4155
1070.0,15,8,1,397.0,589.0,3500.0,4247
1020.0,12,18,1,448.0,304.0,3500.0,4064
1800.0,16,10,1,655.0,464.0,5000.0,5315
1100.0,12,11,1,448.0,357.0,2300.0,3745
1410.0,12,13,1,621.0,500.0,3600.0,4447
1000.0,12,16,1,517.0,500.0,2100.0,3410
770.0,11,11,1,552.0,518.0,2500.0,3344
860.0,16,10,1,414.0,446.0,3800.0,4052
870.0,13,17,0,397.0,429.0,1200.0,2444
960.0,12,4,1,431.0,464.0,1300.0,3123
780.0,13,10,1,500.0,536.0,2500.0,3399
1050.0,14,9,1,345.0,464.0,4400.0,4576
1500.0,12,19,1,621.0,625.0,1900.0,3777
760.0,16,7,1,379.0,589.0,2100.0,3311
2300.0,18,10,1,724.0,518.0,5400.0,5941
860.0,12,13,1,586.0,500.0,3400.0,3749
1420.0,11,19,1,586.0,625.0,4000.0,4578
420.0,12,9,1,448.0,482.0,1300.0,2409
