wage,educ,exper,married,credit_score1,credit_score1_buckets,credit_limit,spend
890.0,11,16,1,533.0,600,6900.0,3144
640.0,11,7,1,467.0,400,4600.0,3054
1160.0,14,9,1,600.0,600,5100.0,3668
1180.0,15,8,1,633.0,600,6200.0,2792
920.0,16,1,1,733.0,800,5900.0,3140
900.0,12,4,1,633.0,600,5200.0,3242
970.0,11,19,1,633.0,600,6700.0,4049
1000.0,12,6,1,767.0,800,7100.0,3368
1640.0,17,7,1,633.0,600,5600.0,5159
1160.0,14,9,1,700.0,800,7400.0,4352
590.0,10,19,1,667.0,600,6600.0,2190
630.0,13,8,1,667.0,600,2900.0,3066
1010.0,14,16,1,767.0,800,8600.0,4022
1310.0,12,5,1,867.0,800,6500.0,4743
830.0,12,11,1,433.0,400,5500.0,2940
930.0,12,14,1,533.0,600,6500.0,3337
1240.0,16,11,1,367.0,400,4900.0,2487
1430.0,12,10,1,600.0,600,6400.0,2638
740.0,12,16,1,267.0,200,2900.0,2228
1120.0,16,13,0,633.0,600,5300.0,3084
1000.0,9,17,1,433.0,400,4800.0,3049
1460.0,16,11,1,500.0,400,4800.0,3427
820.0,13,14,1,700.0,800,8000.0,3420
610.0,10,20,1,667.0,600,5400.0,2573
1450.0,12,8,1,267.0,200,2200.0,2727
1910.0,11,14,1,467.0,400,5000.0,5025
840.0,12,17,1,400.0,400,5000.0,3743
770.0,15,10,0,533.0,600,6800.0,2382
1400.0,12,15,1,400.0,400,5700.0,4848
2480.0,17,8,1,500.0,400,3400.0,5425
940.0,14,6,1,800.0,800,6700.0,2736
1170.0,16,9,0,433.0,400,6200.0,3291
910.0,14,11,1,567.0,600,6600.0,3527
1440.0,16,9,1,667.0,600,6400.0,4156
1180.0,18,11,1,700.0,800,6300.0,5072
1100.0,15,8,1,633.0,600,7100.0,4068
1140.0,12,18,1,667.0,600,8100.0,4186
1820.0,16,10,1,800.0,800,6000.0,3858
1030.0,12,11,1,533.0,600,8000.0,3776
1410.0,12,13,1,933.0,1000,8800.0,5379
1020.0,12,16,1,500.0,400,6100.0,3295
780.0,11,11,1,867.0,800,6800.0,3210
920.0,16,10,1,733.0,800,5300.0,2951
820.0,13,17,0,600.0,600,5200.0,2976
