store,weeks_to_xmas,avg_week_sales,is_on_sale,weekly_amount_sold
1,3,12.98,1,219.6
1,2,12.98,1,184.7
1,1,12.98,1,145.75
1,0,12.98,0,102.45
2,3,19.92,0,103.22
2,2,19.92,0,53.73
2,1,19.92,0,13.84
2,0,19.92,0,0.0
3,3,18.54,0,97.02
3,2,18.54,0,54.72
3,1,18.54,0,24.6
3,0,18.54,0,0.0
4,3,20.52,1,115.38
4,2,20.52,0,53.7
4,1,20.52,1,59.95
4,0,20.52,0,0.0
5,3,17.27,0,162.6
5,2,17.27,0,128.74
5,1,17.27,0,99.84
5,0,17.27,0,35.63
6,3,20.07,1,55.79
6,2,20.07,0,0.0
6,1,20.07,0,0.0
6,0,20.07,0,0.0
7,3,28.18,1,334.23
7,2,28.18,0,220.62
7,1,28.18,1,203.68
7,0,28.18,1,153.11
8,3,20.55,0,96.5
8,2,20.55,0,54.1
8,1,20.55,0,14.76
8,0,20.55,0,0.0
9,3,22.9,1,218.92
9,2,22.9,0,126.14
9,1,22.9,1,131.76
9,0,22.9,0,39.04
10,3,16.49,0,108.97
10,2,16.49,0,46.93
10,1,16.49,1,77.35
10,0,16.49,0,1.73
11,3,20.48,1,250.99
11,2,20.48,1,206.36
11,1,20.48,0,126.57
11,0,20.48,0,96.85
12,3,25.0,1,130.5
12,2,25.0,1,39.39
12,1,25.0,0,0.0
12,0,25.0,0,0.0
13,3,20.24,0,122.01
13,2,20.24,1,124.66
13,1,20.24,0,32.28
13,0,20.24,0,0.0
14,3,28.55,1,220.8
14,2,28.55,1,178.96
14,1,28.55,1,106.75
14,0,28.55,1,63.78
15,3,26.05,1,265.06
15,2,26.05,1,234.25
15,1,26.05,1,172.04
15,0,26.05,1,122.44
16,3,17.11,1,119.88
16,2,17.11,0,6.72
16,1,17.11,0,0.0
16,0,17.11,0,0.0
17,3,27.77,1,245.78
17,2,27.77,1,167.03
17,1,27.77,1,120.15
17,0,27.77,1,71.28
18,3,16.3,1,111.93
18,2,16.3,0,28.43
18,1,16.3,1,30.74
18,0,16.3,0,0.0
19,3,18.57,0,124.0
19,2,18.57,1,133.58
19,1,18.57,0,54.02
19,0,18.57,0,27.26
20,3,21.41,0,167.15
20,2,21.41,1,185.38
20,1,21.41,0,83.39
20,0,21.41,0,49.14
21,3,22.86,1,134.0
21,2,22.86,1,113.93
21,1,22.86,0,8.25
21,0,22.86,1,15.02
22,3,18.14,0,187.41
22,2,18.14,0,138.41
22,1,18.14,0,109.2
22,0,18.14,1,118.63
23,3,17.84,0,144.92
23,2,17.84,1,185.79
23,1,17.84,1,134.51
23,0,17.84,0,32.47
24,3,16.6,1,180.6
24,2,16.6,0,111.54
24,1,16.6,0,75.5
24,0,16.6,1,67.85
25,3,11.35,0,117.02
25,2,11.35,1,152.79
25,1,11.35,1,126.55
25,0,11.35,0,50.12
26,3,13.05,1,78.59
26,2,13.05,0,29.4
26,1,13.05,0,0.0
26,0,13.05,0,0.0
27,3,26.07,0,169.61
27,2,26.07,1,177.24
27,1,26.07,0,69.33
27,0,26.07,1,48.86
28,3,14.98,0,62.98
28,2,14.98,1,69.35
28,1,14.98,1,20.33
28,0,14.98,0,0.0
29,3,24.5,1,193.36
29,2,24.5,1,158.35
29,1,24.5,1,107.57
29,0,24.5,1,48.18
30,3,13.82,1,168.43
30,2,13.82,0,87.47
30,1,13.82,0,71.87
30,0,13.82,0,36.82
31,3,18.7,1,128.14
